user_id,video1,video2,video3,video4
3babb493-6e30-49ed-91f5-1cefcc88f799,scenecliptest00310.avi,sceneclipautoautotrain00177.avi,,
d2868f82-d1b0-45dc-9ff1-ca4a0bcc51be,sceneclipautoautotrain00090.avi,scenecliptest00018.avi,,
84e38fa1-4bc9-4d8e-8b1e-d0f7c986e103,sceneclipautoautotrain00253.avi,sceneclipautoautotrain00059.avi,,
d5d292d0-ba64-4771-86fe-32a6a44716f3,sceneclipautoautotrain00301.avi,sceneclipautoautotrain00213.avi,scenecliptest00006.avi,
42059294-6760-4364-ada6-a55258f1362e,sceneclipautoautotrain00242.avi,,,
c55713c1-00db-47dc-adb9-0f0a56af2bf2,scenecliptest00141.avi,sceneclipautoautotrain00248.avi,,
7efe006f-9bf9-443a-bcd0-a11d03981d7e,scenecliptest00436.avi,,,
bc2ac2a1-be25-4e56-a4cb-8c28dbb33fb5,sceneclipautoautotrain00482.avi,sceneclipautoautotrain00436.avi,sceneclipautoautotrain00373.avi,
6e1faadf-98f7-4668-ba5d-62c040d84912,scenecliptest00395.avi,sceneclipautoautotrain00283.avi,scenecliptest00032.avi,
3af6a85d-c63b-4f04-9f26-a23aecb4ebb9,sceneclipautoautotrain00519.avi,sceneclipautoautotrain00268.avi,sceneclipautoautotrain00269.avi,
5975c825-d3a8-48f4-9143-c0ce4eb84437,scenecliptest00031.avi,sceneclipautoautotrain00196.avi,sceneclipautoautotrain00018.avi,scenecliptest00237.avi
59ea7a59-e9a3-40f5-8efd-7a5e7ade105b,scenecliptest00499.avi,sceneclipautoautotrain00160.avi,scenecliptest00578.avi,sceneclipautoautotrain00258.avi
7a5485d4-fac4-44e4-97f7-f99bddf4e99d,sceneclipautoautotrain00507.avi,,,
7445f1b0-3d35-4bb1-8562-b171d6fbbdfb,scenecliptest00034.avi,,,
3b09c1a8-b651-4586-abec-817d1d03bd5d,scenecliptest00382.avi,sceneclipautoautotrain00409.avi,scenecliptest00414.avi,
1c2b2a21-acd2-4742-8992-7278970e7d66,scenecliptest00535.avi,scenecliptest00013.avi,sceneclipautoautotrain00240.avi,scenecliptest00257.avi
e2bbbce0-4646-4d62-989a-433fb9d09292,sceneclipautoautotrain00099.avi,scenecliptest00424.avi,sceneclipautoautotrain00274.avi,sceneclipautoautotrain00246.avi
0aa6cc99-2d8b-40c9-b420-d8da2d517f90,sceneclipautoautotrain00183.avi,scenecliptest00047.avi,,
9efef06e-f342-487b-9cce-fe3c08f074e2,sceneclipautoautotrain00271.avi,sceneclipautoautotrain00035.avi,scenecliptest00280.avi,sceneclipautoautotrain00152.avi
0a936b19-13af-4719-a056-dc049fb8d433,sceneclipautoautotrain00544.avi,scenecliptest00280.avi,,
6705e699-9355-4cf3-8400-c3cd0c3c75b9,scenecliptest00051.avi,,,
6b966dcd-a7a1-4f70-83b1-9b371c48ba7b,scenecliptest00261.avi,scenecliptest00582.avi,,
cb6f0f9e-b2d5-4fb3-a28d-e0a4abb54df1,sceneclipautoautotrain00341.avi,sceneclipautoautotrain00131.avi,sceneclipautoautotrain00473.avi,
c72fb059-784c-4570-9d99-b36ab8a5dbb9,sceneclipautoautotrain00536.avi,sceneclipautoautotrain00072.avi,sceneclipautoautotrain00040.avi,scenecliptest00012.avi
3108dce0-12d8-4286-af94-323292b7ace8,scenecliptest00054.avi,,,
